"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","LisaTT 0.9.1","Vampire 4.9","CSI_Enigma 1.0.6","cvc5 1.3.0","Zipperpin 2.1.9999","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0"
"ALG049+1","+0.55","+1.73","+2.84","+4.46","+3.14","TMO‑Non","TMO‑Non","UNK‑Non","0.62","46.33","1.06","47.41","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO610+1","+0.56","+0.90","10.14","+169.45","0.97","TMO‑Non","TMO‑Non","UNK‑Non","4.75","2.41","TMO‑Non","4.11","24.38","GUP‑Non","GUP‑Non"
"NUM858+1","+0.40","+0.48","+4.85","163.43","1.58","TMO‑Non","TMO‑Non","TMO‑Non","0.43","3.03","0.74","23.88","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV466+1","+0.37","+0.85","+1.75","+4.48","+2.15","TMO‑Non","TMO‑Non","UNK‑Non","0.35","2.86","1.14","2.21","1.43","GUP‑Non","GUP‑Non"
"GEO605+1","+0.75","+0.68","+4.38","+2.94","0.60","TMO‑Non","TMO‑Non","UNK‑Non","1.95","3.30","TMO‑Non","91.18","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV487+1","+0.37","+0.47","1.79","+1.92","0.55","TMO‑Non","TMO‑Non","TMO‑Non","0.31","3.37","1.01","2.28","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV486+1","+0.43","+0.70","+1.83","+4.63","0.48","TMO‑Non","TMO‑Non","TMO‑Non","0.31","2.42","12.69","1.95","TMO‑Non","GUP‑Non","GUP‑Non"
"PRO018+2","+0.55","+0.41","+6.86","+1.63","0.61","TMO‑Non","TMO‑Non","UNK‑Non","0.57","3.35","25.31","2.56","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW315+1","+0.70","+0.98","+4.07","+8.07","+7.40","+9.27","+0.43","UNK‑Non","0.72","5.40","16.19","1.58","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO340+1","+1.33","+0.65","9.37","+1.75","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.51","3.35","13.08","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"NUM926+2","+1.89","+0.88","4.29","5.60","+0.83","+161.44","TMO‑Non","UNK‑Non","1.00","2.83","1.01","UNK‑Non","1.43","GUP‑Non","GUP‑Non"
"GEO625+1","+0.67","+0.71","+7.86","+1.88","1.17","TMO‑Non","TMO‑Non","UNK‑Non","1.98","3.27","TMO‑Non","10.23","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW383+1","+0.72","+1.39","+24.31","+10.98","24.55","+24.80","+0.99","UNK‑Non","0.66","7.89","7.96","4.12","UNK‑Non","GUP‑Non","GUP‑Non"
"KLE011+1","+1.12","+0.59","+1.78","+1.62","+0.58","TMO‑Non","TMO‑Non","GUP‑Non","0.83","2.43","2.47","UNK‑Non","68.90","GUP‑Non","GUP‑Non"
"LCL894+1","+0.45","+0.51","4.28","+1.73","8.22","TMO‑Non","TMO‑Non","UNK‑Non","1.06","2.76","0.89","88.44","UNK‑Non","GUP‑Non","GUP‑Non"
"SET763+4","+0.31","+0.35","+1.75","+1.66","0.62","TMO‑Non","TMO‑Non","UNK‑Non","0.32","2.71","0.63","1.21","TMO‑Non","GUP‑Non","GUP‑Non"
"HAL006+1","+0.49","+0.56","TMO‑Non","+9.89","+0.39","TMO‑Non","TMO‑Non","UNK‑Non","0.42","2.43","17.99","2.44","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW297+1","+0.72","+1.08","+9.21","+8.09","+0.73","+24.87","+1.22","UNK‑Non","0.67","7.01","TMO‑Non","1.92","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR006+1","+0.38","+0.47","129.03","+18.19","4.65","TMO‑Non","TMO‑Non","UNK‑Non","0.69","2.34","27.69","5.67","6.99","GUP‑Non","GUP‑Non"
"SWW470+1","+0.41","+79.05","+3.84","+66.46","0.26","TMO‑Non","TMO‑Non","UNK‑Non","0.37","2.92","0.71","1.33","5.39","GUP‑Non","GUP‑Non"
"ITP013+1","+0.41","+0.44","+1.88","+1.94","+0.29","TMO‑Non","TMO‑Non","TMO‑Non","0.33","2.91","0.52","1.55","1.20","GUP‑Non","GUP‑Non"
"SEV517+1","+0.33","+0.31","+1.81","+10.68","0.25","TMO‑Non","TMO‑Non","UNK‑Non","0.32","3.69","0.46","6.92","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM317+1","+0.32","+0.52","+3.33","+90.66","+1.45","+24.22","+0.50","UNK‑Non","0.38","2.44","53.72","7.29","148.16","GUP‑Non","GUP‑Non"
"LCL518+1","+0.38","+0.53","+5.33","21.47","+0.29","TMO‑Non","TMO‑Non","TMO‑Non","0.32","2.61","TMO‑Non","2.57","1.35","GUP‑Non","GUP‑Non"
"GEO281+1","+0.98","+6.12","3.81","+1.77","187.97","TMO‑Non","TMO‑Non","UNK‑Non","0.60","3.50","183.76","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWW345+1","+0.90","+1.63","+13.97","+10.83","+1.22","+25.18","+0.99","UNK‑Non","0.68","6.03","TMO‑Non","1.98","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO298+1","+1.26","+1.43","8.81","+7.25","1.57","TMO‑Non","TMO‑Non","UNK‑Non","0.45","4.36","183.05","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"GEO282+1","+0.58","+0.71","7.92","+1.84","+16.72","TMO‑Non","TMO‑Non","UNK‑Non","0.69","4.30","87.79","10.31","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL524+1","+0.72","+0.65","+3.94","1.85","+0.36","TMO‑Non","TMO‑Non","TMO‑Non","1.21","4.22","TMO‑Non","1.31","59.37","GUP‑Non","GUP‑Non"
"GRA002+2","+0.34","+0.68","+2.83","+7.63","+36.27","TMO‑Non","TMO‑Non","UNK‑Non","0.41","7.57","24.86","2.63","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM926+7","+0.89","+0.92","15.60","+13.90","+12.30","TMO‑Non","TMO‑Non","UNK‑Non","4.01","3.04","1.84","UNK‑Non","19.94","GUP‑Non","GUP‑Non"
"GEO290+1","+0.90","+1.43","40.42","+4.32","+0.77","TMO‑Non","TMO‑Non","UNK‑Non","0.59","4.41","0.74","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"COM127+1","+0.49","+0.54","17.81","+20.83","7.46","TMO‑Non","TMO‑Non","UNK‑Non","0.44","2.41","0.53","0.94","UNK‑Non","GUP‑Non","GUP‑Non"
"SEU053+1","+0.36","+0.41","+11.37","+12.03","4.25","TMO‑Non","TMO‑Non","UNK‑Non","1.08","2.50","24.95","2.41","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM325+1","+0.40","+0.53","+4.29","TMO‑Non","+1.72","+163.42","+0.43","UNK‑Non","0.38","3.11","TMO‑Non","4.73","133.24","GUP‑Non","GUP‑Non"
"SWV462+1","+0.63","+4.48","+2.32","205.98","107.67","TMO‑Non","TMO‑Non","UNK‑Non","0.35","3.34","1.03","16.73","1.98","GUP‑Non","GUP‑Non"
"COM143+1","+0.41","+0.58","+12.04","+34.14","0.72","TMO‑Non","TMO‑Non","UNK‑Non","0.52","2.44","0.54","0.81","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB075+1","+0.34","+0.43","+1.85","+17.13","+0.88","TMO‑Non","TMO‑Non","UNK‑Non","0.34","11.35","2.45","0.78","GUP‑Non","GUP‑Non","GUP‑Non"
"SWB023+1","+0.32","+0.38","+2.43","+23.78","+17.83","TMO‑Non","TMO‑Non","UNK‑Non","0.33","4.12","34.69","0.74","TMO‑Non","GUP‑Non","GUP‑Non"
"GRA009+1","+2.72","+2.26","+3.35","+7.54","10.72","TMO‑Non","TMO‑Non","UNK‑Non","1.21","2.96","88.42","4.15","53.74","GUP‑Non","GUP‑Non"
"SWB077+1","+0.33","+8.51","+28.52","5.61","0.99","TMO‑Non","TMO‑Non","UNK‑Non","0.32","6.83","48.51","55.35","GUP‑Non","GUP‑Non","GUP‑Non"
"GEO169+2","+0.57","+4.70","+6.32","+54.72","1.69","TMO‑Non","TMO‑Non","UNK‑Non","1.16","43.26","0.99","5.46","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW386+1","+0.74","+1.49","+21.44","+7.95","TMO‑Non","+25.31","TMO‑Non","UNK‑Non","0.82","5.07","7.08","19.53","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB100+1","+0.33","+8.45","+74.52","+1.93","+0.49","+34.38","TMO‑Non","UNK‑Non","0.32","6.62","221.87","0.85","GUP‑Non","GUP‑Non","GUP‑Non"
"LCL458+1","+6.08","+3.99","+15.92","8.19","1.01","TMO‑Non","TMO‑Non","TMO‑Non","1.22","6.75","28.33","13.48","148.53","GUP‑Non","GUP‑Non"
"SWV486+2","+0.39","+4.80","1.86","TMO‑Non","0.48","TMO‑Non","TMO‑Non","TMO‑Non","0.29","2.65","13.28","12.95","TMO‑Non","GUP‑Non","GUP‑Non"
"COM135+1","+0.54","+0.52","+4.84","+25.64","0.83","TMO‑Non","TMO‑Non","UNK‑Non","0.48","2.58","0.87","12.38","UNK‑Non","GUP‑Non","GUP‑Non"
"SWW337+1","+0.80","+1.04","5.60","+24.23","+0.79","+152.46","+11.54","UNK‑Non","0.86","5.23","6.91","3.12","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV404+1","+0.46","+1.26","+6.42","+24.92","+122.91","TMO‑Non","TMO‑Non","TMO‑Non","0.32","2.50","0.52","8.22","TMO‑Non","GUP‑Non","GUP‑Non"
"COM142+1","+0.42","+0.47","3.31","120.53","26.37","TMO‑Non","TMO‑Non","UNK‑Non","1.42","2.40","95.80","76.77","UNK‑Non","GUP‑Non","GUP‑Non"
"KLE071+1","+1.07","+4.15","2.77","+31.74","+9.74","TMO‑Non","TMO‑Non","GUP‑Non","0.37","3.61","25.44","82.97","1.74","GUP‑Non","GUP‑Non"
"SWV234+2","+0.59","+0.35","1.86","+1.60","+0.39","TMO‑Non","TMO‑Non","UNK‑Non","0.97","2.18","TMO‑Non","0.83","UNK‑Non","GUP‑Non","GUP‑Non"
"GEO088+1","+0.34","+0.40","+1.87","93.86","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.42","2.10","0.57","51.39","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV233+1","+0.33","+0.40","+1.71","+1.66","+0.30","TMO‑Non","TMO‑Non","UNK‑Non","0.29","2.28","TMO‑Non","0.88","TMO‑Non","GUP‑Non","GUP‑Non"
"ALG127+1","+0.41","+2.05","1.85","+5.36","ERR‑Non","TMO‑Non","TMO‑Non","GUP‑Non","0.43","5.49","0.72","5.22","TMO‑Non","GUP‑Non","GUP‑Non"
"SEU429+3","+1.21","+1.58","+43.32","+16.80","+2.69","TMO‑Non","+1.48","UNK‑Non","1.58","7.65","14.35","6.32","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO089+1","+0.37","+0.66","+2.78","+100.05","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.50","3.16","67.13","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW313+1","+0.72","+1.08","5.92","+11.12","+10.41","+112.18","+0.90","UNK‑Non","0.83","5.06","7.35","3.59","194.94","GUP‑Non","GUP‑Non"
"LCL550+1","+4.63","+0.53","+69.57","11.05","7.85","TMO‑Non","TMO‑Non","TMO‑Non","2.75","3.01","48.67","3.29","46.07","GUP‑Non","GUP‑Non"
"SWV090+1","+0.37","+0.50","+1.86","+1.81","+0.36","TMO‑Non","TMO‑Non","UNK‑Non","0.36","2.83","0.93","6.39","TMO‑Non","GUP‑Non","GUP‑Non"
"SEU176+2","+1.09","+1.33","UNK‑Non","+3.13","+4.38","TMO‑Non","TMO‑Non","UNK‑Non","0.73","3.25","0.57","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR047+5","+13.95","+10.60","+56.76","TMO‑Non","+11.12","TMO‑Non","+6.04","UNK‑Non","10.44","15.55","TMO‑Non","TMO‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB047+1","+0.32","+1.83","+68.81","+3.13","+0.92","TMO‑Non","TMO‑Non","UNK‑Non","0.35","22.05","TMO‑Non","0.81","GUP‑Non","GUP‑Non","GUP‑Non"
"RNG098+2","+0.64","+0.58","15.99","+1.85","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.79","2.75","0.90","0.80","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW385+1","+0.81","+1.33","+124.11","+8.73","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.82","5.38","7.42","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWV459+1","+0.34","+94.46","+1.68","TMO‑Non","+155.68","TMO‑Non","TMO‑Non","UNK‑Non","0.34","3.49","0.66","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO507+1","+1.20","+42.29","+40.04","TMO‑Non","+13.95","TMO‑Non","TMO‑Non","TMO‑Non","1.49","2.76","25.43","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO452+1","+3.12","+70.00","+153.82","TMO‑Non","+1.56","TMO‑Non","+8.31","UNK‑Non","1.32","9.43","5.95","12.54","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL537+1","+0.60","+0.71","+4.30","1.64","0.65","TMO‑Non","TMO‑Non","UNK‑Non","0.73","2.97","TMO‑Non","16.04","47.00","GUP‑Non","GUP‑Non"
"SWV089+1","+0.34","+0.49","+1.83","+104.13","+0.25","TMO‑Non","TMO‑Non","UNK‑Non","0.32","2.82","0.64","3.09","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV471+1","+0.36","+40.30","+2.42","TMO‑Non","+219.16","TMO‑Non","TMO‑Non","UNK‑Non","0.46","3.10","0.57","2.76","22.71","GUP‑Non","GUP‑Non"
"LCL896+1","+0.50","+5.24","2.31","+5.47","+72.90","TMO‑Non","TMO‑Non","TMO‑Non","0.37","3.11","94.61","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB056+1","+0.35","+119.60","+1.83","5.62","+38.24","TMO‑Non","+132.35","UNK‑Non","0.34","28.41","2.66","0.77","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR037+5","+9.22","+10.51","+43.91","TMO‑Non","+98.47","+231.17","+6.21","UNK‑Non","10.52","14.60","TMO‑Non","TMO‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"NUN075+2","+0.70","+221.03","+4.36","TMO‑Non","1.09","TMO‑Non","TMO‑Non","UNK‑Non","0.40","2.97","21.33","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW374+1","+0.87","+1.24","TMO‑Non","+7.93","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.78","5.59","TMO‑Non","54.38","UNK‑Non","GUP‑Non","GUP‑Non"
"SET018+1","+0.56","+0.48","+1.84","+1.77","217.57","TMO‑Non","TMO‑Non","UNK‑Non","1.08","2.56","30.25","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"AGT023+2","+0.39","+160.22","+34.55","+91.75","0.48","+204.28","+52.34","UNK‑Non","0.58","5.28","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB058+1","+0.36","+2.24","+62.98","113.61","+23.87","TMO‑Non","TMO‑Non","UNK‑Non","0.36","5.60","35.03","0.69","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB043+1","+0.31","+0.42","+13.99","5.60","+20.38","TMO‑Non","TMO‑Non","UNK‑Non","0.33","25.78","0.98","0.88","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW470+3","+0.59","TMO‑Non","26.21","+7.88","+1.81","TMO‑Non","TMO‑Non","UNK‑Non","0.42","4.46","6.67","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SET156+4","+0.30","TMO‑Non","+5.32","TMO‑Non","+0.29","TMO‑Non","TMO‑Non","UNK‑Non","0.33","TMO‑Non","0.46","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB046+1","+0.32","+2.16","+42.99","5.61","+73.96","TMO‑Non","TMO‑Non","UNK‑Non","0.35","28.45","TMO‑Non","0.78","GUP‑Non","GUP‑Non","GUP‑Non"
"REL020+2","+11.31","+11.35","TMO‑Non","+56.15","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","8.48","7.02","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM481+1","+1.60","+0.62","+64.94","TMO‑Non","96.83","TMO‑Non","TMO‑Non","UNK‑Non","0.36","4.05","28.34","52.26","95.93","GUP‑Non","GUP‑Non"
"SET710+4","+0.56","+2.78","+10.83","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.39","36.74","0.49","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"REL021+1","+14.98","+163.41","160.02","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","7.54","72.47","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO500+1","+1.55","+0.99","+27.05","+6.06","+6.82","TMO‑Non","TMO‑Non","UNK‑Non","0.61","3.31","TMO‑Non","9.71","4.64","GUP‑Non","GUP‑Non"
"ITP019+5","+1.68","+2.69","+13.23","+98.94","+18.68","TMO‑Non","TMO‑Non","UNK‑Non","1.59","9.32","TMO‑Non","6.78","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR052+4","+0.99","+1.36","+6.10","+27.88","+17.87","+102.49","+2.49","UNK‑Non","1.68","6.24","TMO‑Non","60.95","TMO‑Non","GUP‑Non","GUP‑Non"
"SWC005+1","+0.34","+0.39","191.08","+1.75","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.31","2.54","54.27","1.74","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV490+3","+0.36","+4.19","TMO‑Non","125.79","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","4.90","2.62","23.59","53.31","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW958+1","+0.51","+5.58","+1.80","TMO‑Non","12.32","TMO‑Non","TMO‑Non","UNK‑Non","0.34","4.67","TMO‑Non","1.66","TMO‑Non","GUP‑Non","GUP‑Non"
"COM126+1","+0.46","+0.54","62.96","128.93","3.90","TMO‑Non","TMO‑Non","UNK‑Non","1.21","3.22","26.55","0.77","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB026+1","+0.34","+4.03","+42.51","+15.69","+70.27","TMO‑Non","TMO‑Non","UNK‑Non","0.34","28.06","TMO‑Non","0.79","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB025+1","+0.35","TMO‑Non","+2.84","TMO‑Non","+43.56","TMO‑Non","TMO‑Non","UNK‑Non","0.35","5.43","TMO‑Non","0.85","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR040+4","+1.49","+9.54","TMO‑Non","+29.66","+12.35","TMO‑Non","TMO‑Non","UNK‑Non","1.91","25.39","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SCT123+1","+0.60","+164.07","+44.08","TMO‑Non","27.81","TMO‑Non","TMO‑Non","UNK‑Non","0.37","3.17","1.16","5.39","196.92","GUP‑Non","GUP‑Non"
"SET144+3","+0.35","+152.90","+3.31","TMO‑Non","TMO‑Non","+65.52","TMO‑Non","TMO‑Non","0.36","3.69","1.31","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW350+1","+0.67","+0.90","+5.68","+24.32","2.26","TMO‑Non","TMO‑Non","UNK‑Non","0.66","5.07","TMO‑Non","1.71","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB045+1","+0.34","+2.27","+3.37","5.61","+63.98","TMO‑Non","TMO‑Non","UNK‑Non","0.32","32.24","TMO‑Non","0.80","TMO‑Non","GUP‑Non","GUP‑Non"
"CSR003+1","+0.86","+2.02","136.49","+10.64","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.64","4.74","28.12","66.97","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV458+1","+0.35","+178.29","+1.84","TMO‑Non","+30.48","TMO‑Non","TMO‑Non","UNK‑Non","0.32","5.16","0.70","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW470+6","+0.52","TMO‑Non","+5.50","TMO‑Non","8.44","TMO‑Non","TMO‑Non","UNK‑Non","0.69","79.41","29.05","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWW348+1","+0.73","+0.97","5.34","+25.51","+0.91","TMO‑Non","TMO‑Non","UNK‑Non","0.66","4.89","TMO‑Non","1.70","UNK‑Non","GUP‑Non","GUP‑Non"
"SWV491+4","+0.54","+38.61","TMO‑Non","163.63","16.29","TMO‑Non","TMO‑Non","UNK‑Non","25.02","2.38","17.91","55.67","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV492+1","+0.59","+26.94","+29.42","TMO‑Non","75.11","TMO‑Non","TMO‑Non","TMO‑Non","0.54","3.59","24.94","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO321+1","+1.08","TMO‑Non","5.35","TMO‑Non","0.43","TMO‑Non","TMO‑Non","UNK‑Non","4.55","4.52","24.00","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"GEO288+1","+1.02","+7.71","11.41","+27.94","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.52","5.93","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB062+1","+0.35","+3.52","+41.01","+25.44","+123.20","TMO‑Non","TMO‑Non","UNK‑Non","0.53","14.20","TMO‑Non","1.44","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL559+1","+1.77","+1.11","TMO‑Non","TMO‑Non","20.00","TMO‑Non","TMO‑Non","TMO‑Non","3.51","3.36","TMO‑Non","UNK‑Non","222.55","GUP‑Non","GUP‑Non"
"COM131+1","+5.78","+0.63","+164.59","150.50","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","11.06","2.62","25.07","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWW878+1","+60.08","+0.81","+164.08","+3.27","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.97","3.55","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"AGT013+1","+0.49","+6.35","+86.07","TMO‑Non","+219.90","TMO‑Non","TMO‑Non","UNK‑Non","0.97","4.55","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL561+1","+1.95","+0.68","+101.65","TMO‑Non","7.25","TMO‑Non","TMO‑Non","TMO‑Non","3.60","2.84","TMO‑Non","UNK‑Non","164.56","GUP‑Non","GUP‑Non"
"SWW874+1","+0.44","+0.33","+137.57","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.57","2.31","0.67","64.40","UNK‑Non","GUP‑Non","GUP‑Non"
"ITP021+1","+0.52","+0.42","+2.31","+3.19","1.93","TMO‑Non","TMO‑Non","TMO‑Non","2.36","46.48","32.12","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWB086+1","+0.68","+1.88","+97.98","+5.60","+71.15","TMO‑Non","TMO‑Non","UNK‑Non","0.44","16.27","59.68","UNK‑Non","GUP‑Non","GUP‑Non","GUP‑Non"
"LCL552+1","+1.25","+1.54","TMO‑Non","TMO‑Non","141.85","TMO‑Non","TMO‑Non","TMO‑Non","4.57","3.91","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWV472+1","+0.36","TMO‑Non","+2.34","30.57","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.32","4.82","0.59","UNK‑Non","17.43","GUP‑Non","GUP‑Non"
"SWB083+1","+0.43","TMO‑Non","+90.10","5.61","+37.59","TMO‑Non","TMO‑Non","UNK‑Non","0.32","28.61","58.32","0.78","GUP‑Non","GUP‑Non","GUP‑Non"
"SWB014+1","+0.34","TMO‑Non","UNK‑Non","5.61","+10.55","TMO‑Non","TMO‑Non","UNK‑Non","0.51","28.33","110.27","1.35","TMO‑Non","GUP‑Non","GUP‑Non"
"SET098+1","+0.31","+175.25","+34.90","TMO‑Non","+0.63","TMO‑Non","TMO‑Non","UNK‑Non","0.76","3.16","TMO‑Non","120.99","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP005+5","+2.57","+1.57","+170.71","+7.74","+145.73","TMO‑Non","TMO‑Non","UNK‑Non","0.58","6.58","TMO‑Non","73.56","UNK‑Non","GUP‑Non","GUP‑Non"
"LCL888+1","+12.21","+1.85","TMO‑Non","+10.18","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","13.09","3.91","131.59","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWW477+7","+6.73","+3.93","TMO‑Non","230.97","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.79","8.47","TMO‑Non","3.99","UNK‑Non","GUP‑Non","GUP‑Non"
"GRP666+6","TMO‑Non","+58.05","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","124.03","GUP‑Non","GUP‑Non"
"GRP664+1","TMO‑Non","+75.23","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","72.69","19.41","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWB027+1","+0.34","+0.44","+48.48","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.53","28.22","TMO‑Non","3.46","TMO‑Non","GUP‑Non","GUP‑Non"
"REL035+1","+11.97","+136.84","60.96","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","7.66","115.15","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO495+1","+83.43","+28.92","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","4.86","85.60","1.35","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"NUN058+2","+1.71","+19.73","+9.87","TMO‑Non","224.61","TMO‑Non","TMO‑Non","UNK‑Non","2.55","122.95","12.89","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW474+7","+1.52","+25.69","+28.21","30.98","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","0.78","16.97","29.41","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"NUM862+1","+1.25","TMO‑Non","+165.59","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","2.59","15.51","0.87","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEV580+1*","+0.47","TMO‑Non","4.34","TMO‑Non","+0.27","TMO‑Non","TMO‑Non","UNK‑Non","0.33","TMO‑Non","0.46","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEV572+1*","+1.93","TMO‑Non","+1.84","TMO‑Non","+14.13","TMO‑Non","TMO‑Non","TMO‑Non","0.78","8.87","124.33","88.55","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL898+1","TMO‑Non","+0.80","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","17.98","2.51","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
